,City,Country,Temp,Humidity,Cloud %,Windspeed,Lat,Long,Time
0,obihiro,JP,-5.0,57,20,5.1,42.92,143.2,2019-12-28 07:30:47
1,coquimbo,CL,14.0,87,84,0.5,-29.95,-71.34,2019-12-28 07:30:48
2,kahului,US,21.53,83,20,4.6,20.89,-156.47,2019-12-28 07:30:48
3,busselton,AU,29.11,31,0,7.89,-33.64,115.35,2019-12-28 07:30:48
4,butaritari,KI,28.97,77,100,5.96,3.07,172.79,2019-12-28 07:30:48
5,senneterre,CA,-1.0,80,40,4.1,48.39,-77.24,2019-12-28 07:30:49
6,ramanuj ganj,IN,18.85,22,0,2.82,23.81,83.7,2019-12-28 07:30:49
7,nanortalik,GL,-0.53,78,100,1.77,60.14,-45.24,2019-12-28 07:30:49
8,pochutla,MX,21.67,92,14,3.37,15.74,-96.47,2019-12-28 07:30:49
9,saldanha,PT,4.6,59,0,1.22,41.42,-6.55,2019-12-28 07:30:49
10,clyde river,CA,-21.0,83,1,4.1,70.47,-68.59,2019-12-28 07:30:50
11,mehamn,NO,-7.34,75,100,8.71,71.03,27.85,2019-12-28 07:30:50
12,airai,TL,23.36,90,100,1.35,-8.93,125.41,2019-12-28 07:30:50
13,great falls,US,-3.37,68,75,2.6,47.5,-111.29,2019-12-28 07:30:50
14,rikitea,PF,24.61,89,100,4.76,-23.12,-134.97,2019-12-28 07:30:51
15,ushuaia,AR,2.09,93,0,1.73,-54.81,-68.31,2019-12-28 07:30:51
16,boromo,BF,26.04,13,0,3.34,11.74,-2.93,2019-12-28 07:30:51
17,tougue,GN,24.35,20,0,1.06,11.45,-11.68,2019-12-28 07:30:51
18,kodiak,US,4.58,75,90,3.6,39.95,-94.76,2019-12-28 07:30:52
19,lagoa,PT,11.97,87,0,3.1,37.14,-8.45,2019-12-28 07:30:52
20,hithadhoo,MV,27.87,80,90,5.0,-0.6,73.08,2019-12-28 07:30:52
21,kapaa,US,22.71,83,90,9.8,22.08,-159.32,2019-12-28 07:30:52
22,cape town,ZA,21.52,52,0,7.2,-33.93,18.42,2019-12-28 07:30:39
23,alofi,NU,25.0,78,75,2.6,-19.06,-169.92,2019-12-28 07:30:53
24,honningsvag,NO,-3.8,84,100,16.56,70.98,25.97,2019-12-28 07:30:53
25,saint george,GR,5.18,56,40,3.1,39.45,22.34,2019-12-28 07:30:53
26,pierre,US,0.38,98,90,2.6,44.37,-100.35,2019-12-28 07:30:53
27,amparafaravola,MG,28.6,53,56,3.75,-17.68,48.22,2019-12-28 07:30:54
28,presidente epitacio,BR,22.13,82,100,3.3,-21.76,-52.12,2019-12-28 07:30:54
29,turan,RU,-28.72,95,10,0.41,52.15,93.92,2019-12-28 07:30:55
30,vaini,IN,28.0,54,40,4.1,15.34,74.49,2019-12-28 07:30:55
31,dicabisagan,PH,25.73,83,0,2.21,17.08,122.42,2019-12-28 07:30:55
32,ajdabiya,LY,17.0,65,100,5.0,30.75,20.22,2019-12-28 07:30:55
33,hami,CN,-3.97,50,0,1.93,42.84,93.51,2019-12-28 07:30:55
34,narsaq,GL,-3.0,53,100,2.1,60.91,-46.05,2019-12-28 07:30:56
35,bosobolo,CD,32.0,17,62,2.74,4.19,19.88,2019-12-28 07:30:56
36,calabozo,VE,25.19,78,99,2.85,8.92,-67.43,2019-12-28 07:30:56
37,lorengau,PG,26.83,84,97,8.19,-2.02,147.27,2019-12-28 07:30:56
38,sitka,US,11.21,95,100,7.55,37.17,-99.65,2019-12-28 07:30:57
39,kysyl-syr,RU,-39.52,96,47,1.23,63.9,122.77,2019-12-28 07:30:57
40,dikson,RU,-22.76,97,89,1.77,73.51,80.55,2019-12-28 07:30:57
41,douglas,US,4.0,86,90,8.2,58.28,-134.39,2019-12-28 07:30:57
42,hofn,IS,7.93,84,100,10.3,64.25,-15.21,2019-12-28 07:30:57
43,punta arenas,CL,6.82,81,20,6.2,-53.16,-70.91,2019-12-28 07:30:58
44,monrovia,LR,24.0,94,40,2.1,6.33,-10.8,2019-12-28 07:30:58
45,ribeira grande,PT,14.45,87,100,5.87,38.52,-28.7,2019-12-28 07:30:58
46,hovd,NO,1.4,74,75,5.1,63.83,10.7,2019-12-28 07:30:58
47,lebu,ET,18.0,45,40,3.1,8.96,38.73,2019-12-28 07:30:59
48,norman wells,CA,-32.0,74,75,1.5,65.28,-126.83,2019-12-28 07:30:59
49,port alfred,ZA,21.67,67,76,2.68,-33.59,26.89,2019-12-28 07:30:29
50,yellowknife,CA,-25.1,75,20,2.6,62.45,-114.38,2019-12-28 07:30:59
51,yate,GB,7.41,93,40,3.1,51.54,-2.41,2019-12-28 07:30:59
52,tasiilaq,GL,-1.0,63,100,15.4,65.61,-37.64,2019-12-28 07:31:00
53,abha,SA,17.04,55,0,3.6,18.22,42.5,2019-12-28 07:31:00
54,mataura,NZ,11.67,72,99,7.6,-46.19,168.86,2019-12-28 07:31:00
55,hermanus,ZA,22.03,61,0,7.6,-34.42,19.24,2019-12-28 07:31:01
56,clonakilty,IE,9.57,93,75,5.7,51.62,-8.87,2019-12-28 07:31:01
57,jiwani,PK,21.34,60,0,2.23,25.05,61.74,2019-12-28 07:31:01
58,puerto ayora,EC,23.33,88,48,1.34,-0.74,-90.35,2019-12-28 07:31:02
59,awjilah,LY,17.78,52,2,5.64,29.14,21.3,2019-12-28 07:31:02
60,jamestown,AU,31.46,25,7,9.01,-33.21,138.6,2019-12-28 07:31:02
61,chokurdakh,RU,-35.38,91,100,2.72,70.62,147.9,2019-12-28 07:31:02
62,hilo,US,21.31,88,90,3.6,19.71,-155.08,2019-12-28 07:27:10
63,saint-philippe,CA,2.44,74,90,7.2,45.36,-73.48,2019-12-28 07:31:03
64,auki,NG,22.64,13,0,8.59,12.18,6.51,2019-12-28 07:31:03
65,qaanaaq,GL,-18.83,47,65,3.37,77.48,-69.36,2019-12-28 07:31:03
66,castro,CL,7.0,93,0,3.1,-42.48,-73.76,2019-12-28 07:31:04
67,ilulissat,GL,-14.0,60,100,1.0,69.22,-51.1,2019-12-28 07:31:04
68,saint-pierre,FR,6.06,93,90,3.1,48.95,4.24,2019-12-28 07:31:04
69,laguna,BZ,18.89,99,43,0.71,16.17,-88.94,2019-12-28 07:31:04
70,neiafu,TO,27.0,65,75,5.7,-18.65,-173.98,2019-12-28 07:31:05
71,tiksi,RU,-32.29,89,100,4.04,71.64,128.87,2019-12-28 07:31:05
72,ambilobe,MG,30.17,66,82,2.64,-13.19,49.05,2019-12-28 07:31:05
73,saskylakh,RU,-33.52,96,97,2.03,71.97,114.09,2019-12-28 07:31:05
74,esperance,AU,28.0,42,0,8.7,-33.86,121.89,2019-12-28 07:31:05
75,mount gambier,AU,29.0,37,0,6.7,-37.83,140.78,2019-12-28 07:31:06
76,bethel,US,-27.24,68,1,11.3,60.79,-161.76,2019-12-28 07:31:06
77,atuona,PF,27.23,74,1,5.53,-9.8,-139.03,2019-12-28 07:31:06
78,juneau,US,4.0,86,90,8.2,58.3,-134.42,2019-12-28 07:26:18
79,champerico,MX,15.0,87,40,2.1,16.38,-93.6,2019-12-28 07:31:07
80,mnogovershinnyy,RU,-22.03,76,97,3.3,53.94,139.92,2019-12-28 07:31:07
81,cabo san lucas,MX,17.47,77,40,1.92,22.89,-109.91,2019-12-28 07:30:07
82,avarua,CK,24.0,69,24,2.1,-21.21,-159.78,2019-12-28 07:28:04
83,wawa,NG,26.14,18,0,2.2,9.9,4.41,2019-12-28 07:31:07
84,hobart,AU,23.95,53,20,7.2,-42.88,147.33,2019-12-28 07:29:03
85,east london,ZA,17.0,88,75,3.1,-33.02,27.91,2019-12-28 07:31:08
86,luderitz,NA,20.0,60,57,7.2,-26.65,15.16,2019-12-28 07:31:08
87,oranjestad,AW,27.0,83,40,8.2,12.52,-70.03,2019-12-28 07:31:08
88,raudeberg,NO,6.8,75,100,9.8,61.99,5.14,2019-12-28 07:31:09
89,salalah,OM,25.0,61,75,7.2,17.01,54.1,2019-12-28 07:31:09
90,nikolskoye,RU,-1.08,68,90,6.0,59.7,30.79,2019-12-28 07:31:09
91,georgetown,GY,25.0,94,20,1.0,6.8,-58.16,2019-12-28 07:31:09
92,orlik,PL,0.15,80,75,4.6,53.95,17.74,2019-12-28 07:31:10
93,kuusamo,FI,-24.0,83,64,0.5,65.96,29.19,2019-12-28 07:31:10
94,villa carlos paz,AR,27.05,69,93,2.6,-31.42,-64.5,2019-12-28 07:31:10
95,moerai,PF,23.13,68,0,2.88,-22.43,-151.33,2019-12-28 07:31:10
96,vagay,RU,-15.68,89,100,2.89,57.94,69.02,2019-12-28 07:31:11
97,porto novo,BR,21.0,83,40,2.1,-23.68,-45.44,2019-12-28 07:29:20
98,albany,US,3.69,70,90,4.1,42.65,-73.75,2019-12-28 07:27:20
99,samarai,PG,25.6,81,30,2.12,-10.62,150.67,2019-12-28 07:31:11
100,constitucion,MX,12.13,58,40,3.6,23.99,-104.67,2019-12-28 07:31:12
101,gazanjyk,TM,14.01,40,100,3.4,39.24,55.52,2019-12-28 07:31:12
102,aksum,ET,23.46,23,0,2.82,14.12,38.72,2019-12-28 07:31:12
103,iqaluit,CA,-18.0,70,90,4.6,63.75,-68.52,2019-12-28 07:31:13
104,mitsamiouli,KM,25.0,94,75,4.6,-11.38,43.28,2019-12-28 07:31:13
105,beyla,GN,27.23,32,0,0.31,8.69,-8.65,2019-12-28 07:31:13
106,tual,ID,29.24,78,91,6.51,-5.67,132.75,2019-12-28 07:31:13
107,port lincoln,AU,23.63,46,0,5.59,-34.72,135.86,2019-12-28 07:31:14
108,mikhaylovka,RU,-29.27,94,100,2.84,52.96,103.29,2019-12-28 07:31:14
109,dunedin,NZ,12.78,56,98,6.26,-45.87,170.5,2019-12-28 07:30:35
110,fort nelson,CA,-23.0,76,75,1.0,58.81,-122.69,2019-12-28 07:31:14
111,gunupur,IN,22.93,67,86,1.2,19.07,83.81,2019-12-28 07:31:14
112,isangel,VU,29.0,79,75,7.7,-19.55,169.27,2019-12-28 07:31:15
113,rocha,UY,21.87,75,100,4.47,-34.48,-54.34,2019-12-28 07:31:15
114,victoria,BN,30.0,70,75,4.1,5.28,115.24,2019-12-28 07:29:05
115,rio gallegos,AR,6.0,75,0,4.6,-51.62,-69.22,2019-12-28 07:31:15
116,escanaba,US,-6.17,92,1,5.5,45.75,-87.06,2019-12-28 07:31:16
117,carmen,PH,33.0,63,40,4.1,7.36,125.71,2019-12-28 07:31:16
118,nyurba,RU,-39.44,96,32,1.87,63.29,118.35,2019-12-28 07:31:16
119,kruisfontein,ZA,21.86,47,75,6.7,-34.0,24.73,2019-12-28 07:31:16
120,shelomi,IL,11.88,93,75,2.6,33.07,35.15,2019-12-28 07:31:17
121,eydhafushi,MV,27.7,78,0,6.99,5.1,73.07,2019-12-28 07:31:17
122,tuktoyaktuk,CA,-33.0,67,20,4.6,69.44,-133.03,2019-12-28 07:31:17
123,port elizabeth,US,6.49,93,1,2.1,39.31,-74.98,2019-12-28 07:31:17
124,christiana,ZA,32.8,23,63,7.14,-27.91,25.16,2019-12-28 07:31:17
125,bluff,AU,26.69,56,100,8.06,-23.58,149.07,2019-12-28 07:31:18
126,arkhangelskoye,RU,-2.05,69,100,4.15,54.46,37.62,2019-12-28 07:31:18
127,glens falls,US,3.38,80,90,3.6,43.31,-73.64,2019-12-28 07:28:34
128,fajardo,CU,18.94,100,20,1.5,22.83,-82.45,2019-12-28 07:31:19
129,beringovskiy,RU,-25.82,91,20,8.74,63.05,179.32,2019-12-28 07:31:19
130,san policarpo,PH,27.04,75,0,4.42,12.18,125.51,2019-12-28 07:31:19
131,biloela,AU,24.33,63,100,5.8,-24.4,150.51,2019-12-28 07:31:19
132,cayenne,GF,26.0,88,100,1.5,4.94,-52.33,2019-12-28 07:31:19
133,geraldton,CA,-7.0,85,5,4.1,49.72,-86.95,2019-12-28 07:31:20
134,khonsa,IN,15.41,68,1,1.3,26.99,95.51,2019-12-28 07:31:20
135,turukhansk,RU,-24.63,96,100,7.43,65.8,87.96,2019-12-28 07:31:20
136,eganville,CA,1.5,74,90,1.5,45.54,-77.1,2019-12-28 07:31:20
137,leningradskiy,RU,-26.49,96,38,3.89,69.38,178.42,2019-12-28 07:31:21
138,saint anthony,US,-13.06,85,90,2.6,43.97,-111.68,2019-12-28 07:31:21
139,vernon,CA,0.0,94,90,2.1,50.27,-119.27,2019-12-28 07:26:58
140,mandalgovi,MN,-19.35,87,100,8.87,45.76,106.27,2019-12-28 07:31:21
141,la baneza,ES,1.21,50,0,2.6,42.3,-5.9,2019-12-28 07:31:21
142,dodge city,US,1.41,93,90,8.05,37.75,-100.02,2019-12-28 07:31:22
143,pangai,TO,27.0,74,75,6.2,-19.8,-174.35,2019-12-28 07:31:22
144,kudahuvadhoo,MV,27.73,76,0,6.63,2.67,72.89,2019-12-28 07:31:22
145,thompson,CA,-13.0,84,90,1.5,55.74,-97.86,2019-12-28 07:28:35
146,bilma,NE,19.38,19,0,1.92,18.69,12.92,2019-12-28 07:31:22
147,katsuura,JP,9.92,66,20,6.2,33.93,134.5,2019-12-28 07:31:23
148,katete,UG,20.9,80,100,2.12,-0.78,29.75,2019-12-28 07:31:23
149,mahebourg,MU,28.27,74,40,6.7,-20.41,57.7,2019-12-28 07:27:27
150,cherskiy,RU,-29.4,89,0,4.62,68.75,161.3,2019-12-28 07:31:23
151,carnarvon,ZA,27.8,14,18,5.0,-30.97,22.13,2019-12-28 07:31:24
152,travesia,HN,20.83,88,5,1.0,15.87,-87.9,2019-12-28 07:31:24
153,novoagansk,RU,-17.48,93,100,6.69,61.94,76.66,2019-12-28 07:31:25
154,ugoofaaru,MV,27.63,79,17,6.57,5.67,73.0,2019-12-28 07:31:25
155,shimoda,JP,9.97,50,75,2.1,34.7,138.93,2019-12-28 07:31:25
156,diego de almagro,CL,18.04,30,99,1.25,-26.39,-70.05,2019-12-28 07:31:26
157,bastogne,BE,0.36,86,73,2.1,50.0,5.72,2019-12-28 07:31:26
158,xinxiang,CN,9.17,43,53,3.33,35.3,113.88,2019-12-28 07:31:26
159,magdagachi,RU,-31.39,96,28,1.78,53.45,125.8,2019-12-28 07:31:26
160,ixtapa,MX,23.45,88,90,0.86,20.71,-105.21,2019-12-28 07:31:27
161,panaba,MX,18.33,97,28,1.03,21.28,-88.27,2019-12-28 07:31:27
162,sept-iles,CA,-7.0,92,75,2.6,50.2,-66.38,2019-12-28 07:26:58
163,shalinskoye,RU,-27.6,92,0,0.84,55.72,93.76,2019-12-28 07:31:27
164,new norfolk,AU,23.46,53,20,7.2,-42.78,147.06,2019-12-28 07:31:27
165,gerash,IR,15.0,58,0,2.1,27.67,54.14,2019-12-28 07:31:28
166,bredasdorp,ZA,21.06,56,7,9.8,-34.53,20.04,2019-12-28 07:31:28
167,dakar,SN,20.38,78,0,3.1,14.69,-17.45,2019-12-28 07:31:21
168,barrow,AR,21.91,93,67,3.64,-38.31,-60.23,2019-12-28 07:31:28
169,mar del plata,AR,12.32,43,0,7.79,-46.43,-67.52,2019-12-28 07:31:29
170,byron bay,AU,26.01,57,0,5.1,-28.65,153.62,2019-12-28 07:31:29
171,san patricio,PY,25.09,71,0,2.49,-26.98,-56.83,2019-12-28 07:31:29
172,provideniya,RU,-23.78,80,0,3.09,64.42,-173.23,2019-12-28 07:31:29
173,navahrudak,BY,-2.15,88,100,8.07,53.59,25.82,2019-12-28 07:31:30
174,yagoua,CM,25.86,11,43,3.87,10.34,15.23,2019-12-28 07:31:30
175,delijan,IR,5.32,66,78,1.6,33.99,50.69,2019-12-28 07:31:30
176,tefe,BR,23.23,99,100,0.73,-3.35,-64.71,2019-12-28 07:31:30
177,severo-kurilsk,RU,-1.51,98,100,16.19,50.68,156.12,2019-12-28 07:31:30
178,lavrentiya,RU,-24.14,89,0,3.64,65.58,-170.99,2019-12-28 07:31:31
179,san quintin,PH,26.36,84,52,1.62,17.54,120.52,2019-12-28 07:31:31
180,miyako,JP,10.39,53,75,2.1,33.63,130.94,2019-12-28 07:31:31
181,alkhazurovo,RU,4.0,93,90,4.0,43.06,45.65,2019-12-28 07:31:31
182,talnakh,RU,-22.0,83,75,11.0,69.49,88.39,2019-12-28 07:31:32
183,grande prairie,CA,-10.0,85,20,2.1,55.17,-118.79,2019-12-28 07:26:58
184,garanhuns,BR,18.31,93,29,3.07,-8.89,-36.49,2019-12-28 07:31:32
185,giyani,ZA,25.46,45,79,5.22,-23.32,30.73,2019-12-28 07:31:32
186,college,US,-35.77,65,34,2.17,64.86,-147.8,2019-12-28 07:31:32
187,maragogi,BR,26.26,69,12,4.67,-9.01,-35.22,2019-12-28 07:31:33
188,rayong,TH,29.16,65,75,3.1,12.68,101.28,2019-12-28 07:31:33
189,antofagasta,CL,18.0,88,75,3.6,-23.65,-70.4,2019-12-28 07:30:51
190,aklavik,CA,-34.0,73,5,1.5,68.22,-135.01,2019-12-28 07:31:34
191,saiha,IN,20.61,34,0,1.7,22.49,92.98,2019-12-28 07:31:34
192,patu,BR,22.71,78,3,4.41,-6.1,-37.64,2019-12-28 07:31:34
193,fochville,ZA,17.75,52,7,1.79,-26.49,27.49,2019-12-28 07:31:34
194,palmer,AU,31.86,31,0,6.2,-34.85,139.16,2019-12-28 07:31:35
195,ginda,IN,14.34,20,0,2.71,30.69,78.49,2019-12-28 07:31:35
196,nicoya,CR,22.49,78,48,1.5,10.15,-85.45,2019-12-28 07:30:02
197,pangnirtung,CA,-20.68,80,0,1.45,66.15,-65.72,2019-12-28 07:31:35
198,brazzaville,CD,24.79,83,75,1.7,-4.27,15.27,2019-12-28 07:31:36
199,la palma,CO,19.7,97,100,1.12,5.36,-74.39,2019-12-28 07:31:36
200,sao joao da barra,BR,23.31,88,0,2.27,-21.64,-41.05,2019-12-28 07:31:36
201,arman,RU,-10.42,64,100,7.73,59.7,150.17,2019-12-28 07:31:36
202,birjand,IR,13.0,16,0,2.1,32.86,59.22,2019-12-28 07:31:37
203,kangaatsiaq,GL,-10.22,78,53,3.33,68.31,-53.46,2019-12-28 07:31:37
204,taunggyi,MM,21.33,56,2,3.2,20.78,97.03,2019-12-28 07:31:37
205,mangrol,IN,20.13,20,0,1.35,25.33,76.51,2019-12-28 07:31:38
206,suoyarvi,RU,-9.15,91,0,3.07,62.08,32.35,2019-12-28 07:31:38
207,qovlar,AZ,10.0,61,20,7.2,40.95,45.73,2019-12-28 07:31:38
208,lokosovo,RU,-17.03,85,100,4.43,61.13,74.84,2019-12-28 07:31:38
209,nenjiang,CN,-26.94,94,0,1.98,49.17,125.23,2019-12-28 07:31:39
210,zhangye,CN,0.65,17,18,4.34,38.94,100.46,2019-12-28 07:31:39
211,port blair,IN,26.77,75,65,4.02,11.67,92.75,2019-12-28 07:27:55
212,kourou,GF,26.0,88,100,1.5,5.16,-52.64,2019-12-28 07:31:39
213,lerwick,GB,9.0,93,40,6.7,60.15,-1.15,2019-12-28 07:31:40
214,codrington,AU,26.17,44,0,5.1,-28.95,153.24,2019-12-28 07:31:40
215,yerbogachen,RU,-29.36,95,100,3.3,61.28,108.01,2019-12-28 07:31:40
216,cidreira,BR,23.01,88,2,9.85,-30.17,-50.22,2019-12-28 07:31:40
217,limbe,MW,26.0,65,75,3.6,-15.81,35.05,2019-12-28 07:31:40
218,srisailam,IN,25.35,58,51,3.05,16.07,78.87,2019-12-28 07:31:41
219,hailar,CN,-23.48,91,77,5.6,49.2,119.7,2019-12-28 07:27:25
220,sao felix do xingu,BR,22.26,99,100,0.47,-6.64,-51.99,2019-12-28 07:31:41
221,horizontina,BR,22.22,87,93,1.77,-27.63,-54.31,2019-12-28 07:31:41
222,doha,QA,21.93,64,0,1.5,25.29,51.53,2019-12-28 07:30:14
223,santiago,PH,24.3,91,19,0.91,16.69,121.54,2019-12-28 07:30:01
224,riviere-du-loup,CA,1.15,77,100,7.26,47.83,-69.53,2019-12-28 07:26:58
225,zhigansk,RU,-32.85,94,100,4.44,66.77,123.37,2019-12-28 07:31:42
226,viedma,AR,18.99,85,80,2.62,-40.81,-62.99,2019-12-28 07:31:42
227,hasaki,JP,8.56,39,20,6.7,35.73,140.83,2019-12-28 07:31:43
228,kamaishi,JP,0.0,79,40,5.7,39.28,141.86,2019-12-28 07:31:43
229,korcula,HR,6.0,45,40,3.1,42.96,17.14,2019-12-28 07:31:12
230,komsomolskiy,RU,-21.91,98,100,2.51,67.55,63.78,2019-12-28 07:31:43
231,klaksvik,FO,8.0,100,100,5.1,62.23,-6.59,2019-12-28 07:31:44
232,muros,ES,5.61,60,62,1.5,42.77,-9.06,2019-12-28 07:31:44
233,daura,NG,21.55,14,0,7.57,13.04,8.32,2019-12-28 07:31:44
234,warwick,US,4.86,87,1,5.7,41.7,-71.42,2019-12-28 07:31:44
235,vigrestad,NO,3.05,86,75,8.2,58.57,5.7,2019-12-28 07:31:45
236,touros,BR,23.0,88,40,2.1,-5.2,-35.46,2019-12-28 07:31:45
237,vila franca do campo,PT,19.0,88,75,10.3,37.72,-25.43,2019-12-28 07:31:45
238,la seyne-sur-mer,FR,3.02,86,10,1.5,43.1,5.88,2019-12-28 07:31:45
239,chettipalaiyam,IN,28.0,54,40,4.1,10.9,77.07,2019-12-28 07:31:46
240,upernavik,GL,-18.66,60,10,1.02,72.79,-56.15,2019-12-28 07:31:46
241,trelew,AR,17.21,31,20,7.85,-43.25,-65.31,2019-12-28 07:27:09
242,kongolo,CD,22.99,92,100,2.67,-5.39,27.0,2019-12-28 07:31:46
243,khatanga,RU,-35.2,98,55,2.45,71.98,102.47,2019-12-28 07:31:47
244,san rafael,AR,21.17,37,1,4.7,-34.61,-68.33,2019-12-28 07:31:47
245,tura,RU,-33.68,92,6,2.3,64.27,100.22,2019-12-28 07:31:47
246,clarence town,AU,30.73,35,0,7.7,-32.59,151.78,2019-12-28 07:31:47
247,kinsale,IE,9.55,93,75,5.7,51.71,-8.52,2019-12-28 07:31:47
248,lamar,US,-0.34,95,90,3.1,38.09,-102.62,2019-12-28 07:31:39
249,caravelas,BR,22.44,91,2,1.7,-17.73,-39.27,2019-12-28 07:31:48
250,paamiut,GL,-6.42,49,0,1.78,61.99,-49.67,2019-12-28 07:31:48
251,grand forks,US,-12.35,84,1,3.6,47.91,-97.06,2019-12-28 07:31:49
252,boa esperanca,BR,22.65,98,0,0.83,-1.91,-60.0,2019-12-28 07:31:49
253,yekaterinoslavka,RU,-17.62,85,100,6.19,54.34,72.46,2019-12-28 07:31:49
254,illapel,CL,11.36,74,0,0.29,-31.63,-71.17,2019-12-28 07:31:49
255,elliot lake,CA,-1.0,74,75,5.1,46.37,-82.65,2019-12-28 07:31:50
256,ocara,BR,23.88,83,73,2.83,-4.49,-38.6,2019-12-28 07:31:50
257,kulhudhuffushi,MV,27.74,80,0,5.44,6.62,73.07,2019-12-28 07:30:29
258,sao filipe,CV,22.7,62,0,4.01,14.9,-24.5,2019-12-28 07:31:50
259,maputo,MZ,24.29,57,75,6.2,-25.97,32.57,2019-12-28 07:31:51
260,qaqortoq,GL,-3.0,53,100,2.1,60.72,-46.03,2019-12-28 07:31:51
261,demba,CD,24.0,83,100,0.84,-5.47,22.27,2019-12-28 07:31:51
262,flinders,AU,26.4,54,0,3.6,-34.58,150.85,2019-12-28 07:31:51
263,fortuna,US,2.56,93,1,2.1,40.6,-124.16,2019-12-28 07:31:51
264,labuhan,ID,28.33,85,100,1.3,-2.54,115.51,2019-12-28 07:31:52
265,gasa,BT,-7.6,23,0,3.02,27.91,89.73,2019-12-28 07:31:52
266,vila velha,BR,27.91,74,40,6.2,-3.71,-38.6,2019-12-28 07:30:36
267,namibe,AO,23.18,86,100,3.16,-15.19,12.15,2019-12-28 07:31:52
268,chuy,UY,22.32,76,2,4.0,-33.69,-53.46,2019-12-28 07:27:06
269,palmares do sul,BR,22.79,85,0,5.49,-30.26,-50.51,2019-12-28 07:31:53
270,kavaratti,IN,28.81,71,25,3.91,10.57,72.64,2019-12-28 07:31:53
271,kavieng,PG,28.62,73,33,6.03,-2.57,150.8,2019-12-28 07:31:53
272,poya,NC,25.26,84,2,11.33,-21.35,165.16,2019-12-28 07:31:53
273,bilibino,RU,-29.33,91,0,1.08,68.06,166.44,2019-12-28 07:31:54
274,kapuskasing,CA,-5.0,85,5,3.1,49.42,-82.43,2019-12-28 07:31:54
275,goreloye,RU,-3.02,74,100,1.66,52.92,41.5,2019-12-28 07:31:54
276,nerchinskiy zavod,RU,-28.13,94,88,1.14,51.31,119.61,2019-12-28 07:31:55
277,ancud,CL,7.0,93,0,3.1,-41.87,-73.83,2019-12-28 07:31:55
278,wagar,US,16.62,76,92,0.45,31.44,-87.99,2019-12-28 07:31:55
279,makakilo city,US,23.71,100,90,2.1,21.35,-158.09,2019-12-28 07:31:55
280,rincon,PA,19.44,91,98,1.42,8.46,-82.28,2019-12-28 07:31:55
281,longyearbyen,NO,-7.0,79,75,4.1,78.22,15.63,2019-12-28 07:31:56
282,boguchany,RU,-33.1,96,0,1.17,58.38,97.46,2019-12-28 07:31:56
283,pisco,PE,20.0,88,75,0.12,-13.71,-76.2,2019-12-28 07:29:29
284,arlit,NE,22.46,15,67,4.01,18.74,7.39,2019-12-28 07:31:56
285,tigil,RU,-13.01,73,69,5.22,57.8,158.67,2019-12-28 07:31:57
286,abu zabad,SD,24.47,17,0,8.03,12.35,29.25,2019-12-28 07:31:57
